"","","United States Border Patrol","","","","","","",""
"","","Sector Profile - Fiscal Year 2016 (Oct. 1st through Sept. 30th)","","","","","","",""
"","Agent","","","Marijuana","Cocaine","Accepted","","",""
"SECTOR","","Apprehensions   Other Than Mexican","","","","","Assaults","Rescues","Deaths"
"","","","","","","","","",""
"","Staffing*","","Apprehensions","(pounds)","(pounds)","Prosecutions","","",""
"Miami","105","3,205","2,553","1,229","344","263","3","N/A","N/A"
"New Orleans","67","764","376","2","0","3","0","N/A","N/A"
"Ramey","39","694","694","2","943","81","1","N/A","N/A"
"Coastal Border Sectors Total","211","4,663","3,623","1,232","1,288","347","4","N/A ****","N/A ****"
"Blaine","295","271","231","6","0","17","1","N/A","N/A"
"Buffalo","285","226","144","1","0","17","0","N/A","N/A"
"Detroit","411","716","212","41","1","49","1","N/A","N/A"
"Grand Forks","181","505","153","0","0","68","6","N/A","N/A"
"Havre","175","43","31","44","0","0","0","N/A","N/A"
"Houlton","184","25","18","137","0","8","2","N/A","N/A"
"Spokane","234","206","57","34","0","20","0","N/A","N/A"
"Swanton","294","291","268","450","1","127","1","N/A","N/A"
"Northern Border Sectors Total","2,059","2,283","1,114","714","2","306","11","N/A ****","N/A ****"
"Big Bend (formerly Marfa)","511","6,366","3,638","41,752","16","2,392","9","42","2"
"Del Rio","1,439","23,078","10,125","10,128","0","13,987","13","18","14"
"El Centro","927","19,448","5,087","2,899","126","1,134","22","36","9"
"El Paso","2,240","25,634","11,974","67,532","157","6,900","34","13","1"
"Laredo","1,670","36,562","11,225","73,261","663","12,001","28","982","68"
"Rio Grande Valley (formerly McAllen)","3,135","186,830","140,496","326,393","1,460","8,781","151","1,377","130"
"San Diego","2,325","31,891","6,511","9,167","1,317","2,683","52","77","7"
"Tucson","3,834","64,891","18,397","728,367","174","24,036","123","1,409","84"
"Yuma","829","14,170","10,657","32,608","271","2,341","7","10","7"
"Southwest Border Sectors Total","17,026**","408,870","218,110","1,292,105","4,184","74,255","439","3,964","322"
"Nationwide Total","19,828***","415,816","222,847","1,294,052","5,473","74,908","454","3,964","322"
"","*  Agent staffing statistics depict FY16 on-board personnel data as of 10/1/16","","","","","","","",""
"","** Southwest Border Sectors staffing statistics include:   Big Bend, Del Rio, El Centro, El Paso, Laredo, Rio Grande Valley, San Diego, Tucson, Yuma, and the Special Operations Group.","","","","","","","",""
"***  Nationwide staffing statistics include:  All on-board Border Patrol agents in CBP","","","","","","","","",""
"","****  Rescue and Death statistics are not tracked for Northern and Coastal Border Sectors.","","","","","","","",""
